nepotism on youtube,Mithilesh Patankar,1998-07-24,India,life,the mythpat podcast,2021-12-03,C:\Users\SOUMASIS\Downloads\nepotism_on_youtube.wav,00:29:18
vroom vroom,Mithilesh Patankar,1998-07-24,India,life,the mythpat podcast,2022-03-01,C:\Users\SOUMASIS\Downloads\vroom_vroom.wav,00:29:34
01Aarambh Perfect World,Puranjit Dasgupta,1982-08-21,India,thriller,Bhaskar Bose,2022-03-29,C:\Users\SOUMASIS\Downloads\01 Aarambh Perfect World.wav,00:23:15
02Aamne Saamne Perfect World,Puranjit Dasgupta,1982-08-21,India,thriller,Bhaskar Bose,2022-03-29,C:\Users\SOUMASIS\Downloads\02 Aamne Saamne Perfect World.wav,00:18:40
MURDERED Marqueise Coleman,Ashley Flowers,1989-12-19,Indiana-USA,crime,Crime Junkie,2022-03-21,C:\Users\SOUMASIS\Downloads\MURDERED Marqueise Coleman.wav,00:31:13
MISSING Diane Francis,Ashley Flowers,1989-12-19,Indiana-USA,crime,Crime Junkie,2022-01-17,C:\Users\SOUMASIS\Downloads\MISSING Diane Francis.wav,00:23:59
The Rice Box,Danna Schwartz,1993-01-07,Highland Park-Illinois,history,Noble blood,2022-02-01,C:\Users\SOUMASIS\Downloads\The-Rice-Box.wav,00:29:31
The-Queen_s-Goddaughter,Danna Schwartz,1993-01-07,Highland Park-Illinois,history,Noble blood,2022-01-18,C:\Users\SOUMASIS\Downloads\The-Queen_s-Goddaughter.wav,00:31:30
S01-Episode-03-Leakin-Park,Sarah Koeing,1969-07-09,New York-USA,mystery,Serial,2014-10-10,C:\Users\SOUMASIS\Downloads\S01-Episode-03-Leakin-Park.wav,00:27:06
S01-Episode-04-Inconsistencies,Sarah Koeing,1969-07-09,New York-USA,mystery,Serial,2014-10-16,C:\Users\SOUMASIS\Downloads\S01-Episode-04-Inconsistencies.wav,00:33:14
