dancing with your ghost,Sasha Alex Sloan,1995-03-11,Boston-USA,pop,dancing with your ghost,2019-06-28,C:\Users\SOUMASIS\Downloads\Dancing-With-Your-Ghost.wav,00:03:19
older,Sasha Alex Sloan,1995-03-11,Boston-USA,pop,older,2018-11-09,C:\Users\SOUMASIS\Downloads\Sasha-Sloan-Older-Now-Whats-Next.wav,00:03:11
what if i told you that i love you,Ali Gatie,1997-05-31,Iraqi-Canadian,r&b/soul,The Idea Of Her,2020-04-04,C:\Users\SOUMASIS\Downloads\What_if_I_told_you_that_I_love_you.wav,00:03:33
running on my mind,Ali Gatie,1997-05-31,Iraqi-Canadian,r&b/soul,The Idea Of Her,2020-05-28,C:\Users\SOUMASIS\Downloads\Ali+Gatie+Running+On+My+Mind+Lyrics.wav,00:02:25
perfect,Ed Sheeran,1991-02-17,West Yorkshire-England,pop,Divide,2017-11-24,C:\Users\SOUMASIS\Downloads\Ed Sheeran-Perfect.wav,00:04:23
photograph,Ed Sheeran,1991-02-17,West Yorkshire-England,folk,x,2015-05-11,C:\Users\SOUMASIS\Downloads\Ed-Sheeran-Photograph.wav,00:04:34
Already Dead,Jarad Anthony Higgins,1998-12-02,Chicago-USA,rap,Already Dead,2021-11-11,C:\Users\SOUMASIS\Downloads\Juice_WRLD_-_Already_Dead.wav,00:03:51
lucid dreams,Jarad Anthony Higgins,1998-12-02,Chicago-USA,rap,Goodbye & Good Riddance,2018-05-04,C:\Users\SOUMASIS\Downloads\Juice_Wrld_-_Lucid_Dreams.wav,00:04:13
you broke me first,Tatum Rosner McRae,2003-07-01,Alberta-Canada,edm,you broke me first,2020-04-17,C:\Users\SOUMASIS\Downloads\Tate-McRae-you-broke-me-first.wav,00:02:48
she's all i wanna be,Tatum Rosner McRae,2003-07-01,Alberta-Canada,pop,she's all i wanna be,2022-02-04,C:\Users\SOUMASIS\Downloads\Tate-Mcrae-She-s-All-I-Wanna-Be.wav,00:03:26
